ethnicity_white,ethnicity_black,ethnicity_aipi,ethnicity_aian,ethnicity_unknown,offender_male,offender_female,offender_unknown,offense_public_order,offense_drug,offense_property,offense_violent,offense_other,offender_supervision_high,offender_supervision_low,recidivism_target,recidivism_flag
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
